country,title,source,publishedat
Nepal,Nueva encuesta sacude la carrera presidencial y revela quién le compite mejor a Iván Cepeda en segunda vuelta,Infobae,2026-04-27T01:37:07Z
Nepal,"Encuesta Invamer: a 103 días para entregar el poder, favorabilidad de Gustavo Petro bajó y creció su imagen negativa",Infobae,2026-04-27T01:37:00Z
Nepal,"Nikkei hits fresh intraday high above 60,000 on tech share gains",毎日新聞,2026-04-27T01:36:46Z
Nepal,Liverpool School of Tropical Medicine: New pooled testing toolkit to help expand TB diagnosis to ‘missed millions’,European AIDS Treatment Group,2026-04-27T01:36:26Z
Nepal,El mensaje que Flavio Briatore le dedicó a Franco Colapinto luego del exitoso Road Show de Buenos Aires,La Nación,2026-04-27T01:36:00Z
Nepal,"China industrial profits jump 15.8% in March, fueled by AI and chip boom despite oil shock risks",CNBC,2026-04-27T01:36:00Z
Nepal,മകളുടെ കൊലപാതകം: പ്രതിയെ വീട്ടിൽക്കയറി വെട്ടിക്കൊന്ന് പിതാവ്,Manorama Online,2026-04-27T01:35:54Z
Nepal,এত কেন্দ্রীয় বাহিনী ও পুলিশ থাকা সত্ত্বেও কীভাবে গুলি চলার ঘটনা ঘটল? জগদ্দলের ঘটনা নিয়ে রিপোর্ট চাইলেন মুখ্য নির্বাচনী আধিকারিক,News18 Bengali,2026-04-27T01:35:00Z
India,"धूप, लू और बारिश का ट्रिपल अटैक: उत्तराखंड में मौसम विभाग की चेतावनी! दून वासियों के लिए भारी पड़ेंगे अगले कुछ दिन",Zee News,2026-04-27T01:34:03Z
India,"खत्म हो गया तेल का स्टॉक? इस राज्य में 400 से ज्यादा पेट्रोल पंप बंद, मचा हड़कंप",Hindustan Hindi News,2026-04-27T01:34:02Z
India,"'Mati handed to infiltrators,' Modi attacks TMC in last leg of campaign; Mamata says 'BJP dar gaya'",Hindustan Times,2026-04-27T01:33:02Z
India,புளூட்டோவை விட பெரிய நாடு: குடிக்கலைனா இவங்களுக்கு கோபம் வந்துரும்; ஜோக் அடிச்சா தூக்கி ஜெயில்ல போட்டுருவாங்க,Indian Express - Tamil,2026-04-27T01:32:49Z
India,"राघव चड्ढा न तो BJP में जाते और न AAP टूटती, अगर पास हो जाता उनका ही बिल, जानिए 4 साल पुरानी कहानी",News18 Hindi,2026-04-27T01:30:19Z
India,"NASA confirms, two airplane-sized asteroids to make close approach to Earth on 27 April 2026",Moneycontrol.com,2026-04-27T01:30:11Z
India,"Iran’s new peace proposal to US: Open Hormuz now, nuclear talks later",India Today,2026-04-27T01:30:02Z
India,"पीएम मोदी की रैली से पहले बंगाल के जगद्दल में भारी हिंसा, फेंके गए देसी बम; CISF का जवान घायल",Jagran,2026-04-27T01:30:00Z
USA,Alleged Colorado attacker's family released after nearly a year in detention,NPR,2026-04-27T01:30:23Z
USA,Rockets disputarán el Juego 4 frente a Lakers sin Kevin Durant,ESPN Deportes,2026-04-27T01:25:00Z
USA,San Antonio Spurs vs. Portland Trail Blazers Live Score and Stats,CBS Sports,2026-04-27T01:20:06Z
USA,"Así quedarían Valencia, Fajardo y de la Espriella en segunda vuelta con Cepeda, según Invamer",elpais.com.co,2026-04-27T01:14:00Z
USA,Trump dijo que no tiene prisa en negociar con Irán y aseguró que la estrategia de máxima presión ha debilitado al régimen,Infobae,2026-04-27T01:12:00Z
USA,Resumen del partido Santos vs. Monterrey (3,Mediotiempo,2026-04-27T01:11:00Z
USA,Kevin Durant se pierde el cuarto juego y los Rockets enfrentan la barrida ante los Lakers,Primera Hora,2026-04-27T00:56:38Z
USA,"No, COVID Vaccines Didn't Save Millions Of Lives, Hospitalizations In United States",foxnews.com,2026-04-27T00:56:21Z
USA,Read the full transcript of Norah O'Donnell's interview with President Trump here,CBS News,2026-04-27T00:51:00Z
UK,Oil rises as US-Iran peace talks stall,BBC,2026-04-27T01:16:50Z
UK,Who is Cole Tomas Allen? Everything we know about suspected shooter,The Telegraph,2026-04-27T00:27:00Z
UK,Games Inbox: Which is better out of Pragmata and Saros?,Metro.co.uk,2026-04-27T00:12:00Z
UK,"With presidents, cowboys and A-listers - King Charles in US over the years",BBC,2026-04-26T23:13:26Z
UK,Sirens and split-second decisions: On the beat with NI's police,BBC,2026-04-26T23:08:30Z
UK,UK's biggest environmental pollution claim reaches High Court,BBC,2026-04-26T23:01:47Z
UK,The Chinese sports brand taking on Nike and Adidas,BBC,2026-04-26T22:24:41Z
UK,Illegal ravers take over Welsh mountain,Wales Online,2026-04-26T22:22:50Z
UK,Missy Bo Kearns: Aston Villa and England midfielder discusses her miscarriage,BBC,2026-04-26T22:15:27Z
Australia,Assassin’s Creed Hexe Game Director Benoit Richer Exits Ubisoft Just Months After Departure of Previous Creative Director,IGN Southeast Asia,2026-04-27T01:31:28Z
Australia,NT news: Police seek man over disappearance of five,9News,2026-04-27T01:04:07Z
Australia,Two bodies found after fire tears through home in Blue Mountains foothills,The Guardian,2026-04-27T00:43:00Z
Australia,Sabastian Sawe ran the marathon in an 'unbelievable time'. Here's why we can believe in it,Australian Broadcasting Corporation,2026-04-27T00:37:21Z
Australia,Australia news live: bodies of two children found after house fire near Blue Mountains,The Guardian,2026-04-27T00:29:27Z
Australia,"King Charles, Queen Camilla proceed with US state visit after White House shooting",Australian Broadcasting Corporation,2026-04-27T00:21:41Z
Australia,Trump tells 60 Minutes he ‘wasn’t worried’ during correspondents’ dinner shooting,The Guardian,2026-04-27T00:10:00Z
Australia,"US politics live updates: Trump dinner shooter identified as Cole Tomas Allen; Iran peace talks on hold as ceasefire between Israel, Lebanon becomes fragile",The Age,2026-04-27T00:02:33Z
Australia,"Bowen Mountain, NSW: Bodies found in search for two children after house fire",news.com.au,2026-04-26T23:56:27Z
